落札年月,月内平均落札価格,落札価格,商品名
201507,500,500,ドルコミ/ ワリックツノハナムグリ　幼虫４頭！　
201604,2866,1800,ワリックツノハナムグリ　成虫ペア
201604,2866,2700,ワリックツノハナムグリ　成虫ペア
201604,2866,4100,ワリックツノハナムグリ　成虫ペア
201605,2122,1000,【Shin-Chan】天然　ワリックツノハナムグリ　NO6
201605,2122,2101,ワリックツノハナムグリ　成虫ペア
201605,2122,2200,ワリックツノハナムグリ　成虫ペア
201605,2122,1500,【Shin-Chan】天然　ワリックツノハナムグリ　NO5
201605,2122,2400,【Shin-Chan】天然　ワリックツノハナムグリ　NO4
201605,2122,2300,【Shin-Chan】天然　ワリックツノハナムグリ　NO3
201605,2122,2300,ワリックツノハナムグリ　成虫ペア
201605,2122,2900,【Shin-Chan】天然　ワリックツノハナムグリ　NO2
201605,2122,2400,【Shin-Chan】天然　ワリックツノハナムグリ　NO1
201612,820,820,野外採集品　ベトナム産ワリックツノハナムグリ　２雄
201903,1000,1000,Dictanocephalus bourgoini ワリックツノハナムグリ　標本　♂32ｍｍ
201904,600,700,★★昆虫標本 台湾 新竹縣 ワリックツノハナムグリDicranocephalus wallic...
201904,600,500,★★昆虫標本 台湾 新竹縣 ワリックツノハナムグリ Dicranocephalus walli...
201907,11888,15500,ワリックツノハナムグリWDペア
201907,11888,8277,ワリックツノハナムグリWDメス単品
201910,300,300,★★昆虫標本 台湾 台中市 ワリックツノハナムグリDicranocephalus wallic...
202005,7300,7750,ワリックツノハナムグリWDペア
202005,7300,6850,ワリックツノハナムグリWDメス単品
202006,6418,5000,新着中国便！　WD ワリックツノハナムグリ　LLサイズペア！　ラストです。
202006,6418,7000,ワリックツノハナムグリWDペア ３
202006,6418,6900,ワリックツノハナムグリWDペア ４
202006,6418,7250,ワリックツノハナムグリWDペア ２
202006,6418,7250,ワリックツノハナムグリWDペア １
202006,6418,9250,ワリックツノハナムグリWDペア
202006,6418,4200,ワリックツノハナムグリWDメス単品 ３
202006,6418,4500,ワリックツノハナムグリWDメス単品２
202007,4560,5000,ワリックツノハナムグリWDペア ３
202007,4560,600,【標本】ワリックツノハナムグリ（原名亜種：ベトナム北部YenBai）♂33ミリ+
202007,4560,1700,【ＤＨＢ】☆ 珍品！ワリックツノハナムグリ 初令5頭セット ☆
202007,4560,6000,ワリックツノハナムグリWDペア １
202007,4560,4000,ワリックツノハナムグリWDペア ２
202007,4560,1601,ワリックツノハナムグリWF1 幼虫5頭
202007,4560,700,【標本】ワリックツノハナムグリ（原名亜種：ベトナム北部YenBai）♂36ミリ②
202007,4560,6500,ワリックツノハナムグリWDペア 11
202007,4560,7000,ワリックツノハナムグリWDペア 10
202007,4560,6000,ワリックツノハナムグリWDペア ９
202007,4560,5000,ワリックツノハナムグリWDペア ８
202007,4560,7501,ワリックツノハナムグリWDペア ７
202007,4560,7250,ワリックツノハナムグリWDペア ６
202007,4560,5000,ワリックツノハナムグリWDペア ５
202008,650,600,【標本】ワリックツノハナムグリ（原名亜種：ベトナム北部YenBai）♂32ミリ
202008,650,600,【標本】ワリックツノハナムグリ（原名亜種：ベトナム北部YenBai）♂34ミリ+
202008,650,700,【標本】ワリックツノハナムグリ（原名亜種：ベトナム北部YenBai）♂36ミリ①
202008,650,700,【標本】ワリックツノハナムグリ（原名亜種：ベトナム北部YenBai）♂36ミリ②
202009,8250,8250,希少種　ワリックツノハナムグリ　初令～二令　幼虫5頭　カナブン　カブトムシ　クワガタ
